,CountyName,Year,Hogs,Beef Cattle,Milk Cattle,Other Cattle
0,ADAIR,1968,164000.0,33900.0,3500.0,87000.0
1,ADAIR,1969,139000.0,34700.0,3300.0,90500.0
2,ADAIR,1970,168000.0,36400.0,3300.0,91000.0
3,ADAIR,1971,151000.0,38000.0,3000.0,88000.0
4,ADAIR,1972,140000.0,41300.0,2800.0,93000.0
5,ADAIR,1973,142000.0,39200.0,2300.0,90900.0
6,ADAIR,1974,129000.0,36400.0,2000.0,86500.0
7,ADAIR,1975,119600.0,37800.0,2100.0,89300.0
8,ADAIR,1976,128300.0,37700.0,2350.0,99300.0
9,ADAIR,1977,139100.0,0.0,0.0,0.0
10,ADAIR,1978,145000.0,40800.0,2300.0,107000.0
11,ADAIR,1979,160000.0,37000.0,2200.0,100000.0
12,ADAIR,1980,165000.0,40000.0,2300.0,102000.0
13,ADAIR,1981,0.0,41600.0,2200.0,103500.0
14,ADAIR,1982,115000.0,40300.0,2000.0,100400.0
15,ADAIR,1983,110000.0,33900.0,1800.0,93000.0
16,ADAIR,1984,107000.0,30200.0,1400.0,82000.0
17,ADAIR,1985,105000.0,27800.0,1100.0,70000.0
18,ADAIR,1986,87000.0,25000.0,1100.0,70000.0
19,ADAIR,1987,94000.0,25000.0,1100.0,69000.0
20,ADAIR,1988,96000.0,27000.0,1100.0,65000.0
21,ADAIR,1989,102000.0,28200.0,1300.0,67000.0
22,ADAIR,1990,0.0,25900.0,1000.0,67000.0
23,ADAIR,1991,0.0,0.0,0.0,0.0
24,ADAIR,1992,0.0,0.0,0.0,0.0
25,ADAIR,1993,0.0,0.0,0.0,0.0
26,ADAIR,1994,0.0,0.0,0.0,0.0
27,ADAIR,1995,0.0,0.0,0.0,0.0
28,ADAIR,1996,0.0,0.0,0.0,0.0
29,ADAIR,1997,36650.0,23830.0,314.0,54494.0
30,ADAIR,1998,0.0,0.0,0.0,0.0
31,ADAIR,1999,0.0,0.0,0.0,0.0
32,ADAIR,2000,0.0,0.0,0.0,0.0
33,ADAIR,2001,0.0,21500.0,0.0,50200.0
34,ADAIR,2002,28520.0,23500.0,195.0,55000.0
35,ADAIR,2003,0.0,22000.0,300.0,53500.0
36,ADAIR,2004,0.0,23000.0,0.0,50000.0
37,ADAIR,2005,0.0,26000.0,0.0,54000.0
38,ADAIR,2006,0.0,26000.0,0.0,50000.0
39,ADAIR,2007,16033.0,24000.0,94.0,49000.0
40,ADAIR,2008,16500.0,19200.0,0.0,40500.0
41,ADAIR,2009,0.0,18400.0,0.0,40000.0
42,ADAIR,2010,0.0,17800.0,0.0,39000.0
43,ADAIR,2011,0.0,17100.0,0.0,39000.0
44,ADAIR,2012,36392.0,17800.0,,38500.0
45,ADAIR,2013,0.0,0.0,0.0,41500.0
46,ADAIR,2014,0.0,0.0,0.0,40000.0
47,ADAIR,2015,0.0,0.0,0.0,41500.0
48,ADAIR,2016,0.0,0.0,0.0,42000.0
49,ADAIR,2017,52615.0,,,41500.0
50,ADAIR,2018,0.0,0.0,0.0,48000.0
51,ADAIR,2019,0.0,0.0,0.0,47500.0
52,ADAIR,2020,0.0,0.0,0.0,46000.0
53,ADAIR,2021,0.0,0.0,0.0,44000.0
54,ADAIR,2022,0.0,0.0,0.0,46500.0
55,ADAIR,2023,0.0,0.0,0.0,43500.0
56,ADAMS,1968,111000.0,22500.0,1500.0,57000.0
57,ADAMS,1969,102000.0,23300.0,1200.0,60500.0
58,ADAMS,1970,110000.0,24600.0,1000.0,59000.0
59,ADAMS,1971,99000.0,24700.0,800.0,56000.0
60,ADAMS,1972,87000.0,24300.0,700.0,58000.0
61,ADAMS,1973,83000.0,23800.0,600.0,52400.0
62,ADAMS,1974,72000.0,22300.0,600.0,51800.0
63,ADAMS,1975,76700.0,24600.0,600.0,56400.0
64,ADAMS,1976,90200.0,26500.0,500.0,67900.0
65,ADAMS,1977,83000.0,0.0,0.0,0.0
66,ADAMS,1978,87000.0,23900.0,500.0,61500.0
67,ADAMS,1979,92000.0,23000.0,600.0,56000.0
68,ADAMS,1980,95000.0,22000.0,600.0,52000.0
69,ADAMS,1981,0.0,23900.0,600.0,55200.0
70,ADAMS,1982,90000.0,23100.0,600.0,56200.0
71,ADAMS,1983,90000.0,20300.0,600.0,52500.0
72,ADAMS,1984,81000.0,20500.0,500.0,45000.0
73,ADAMS,1985,80000.0,19500.0,400.0,38000.0
74,ADAMS,1986,61000.0,18500.0,400.0,40000.0
75,ADAMS,1987,61000.0,18000.0,300.0,46000.0
76,ADAMS,1988,63000.0,19500.0,300.0,44000.0
77,ADAMS,1989,67000.0,20000.0,400.0,44000.0
