OBJECTID1,asd_code,asd_desc,Year,SUM_SHAPE_Area,BeefCows,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,Hogs,Nrate_lbperac,MilkCows,OtherCattle,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,GrainN_neg_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha,TC/TRP,Creator,Created,Editor,Edited,Shape__Area,Shape__Length
1,10,NORTHWEST,1/1/2014,,61903,2048000,1941000,173.9666667,,,5690432,66.40479679,55287,852668,1517000,1530000,50.93333333,74.44,64.76,168.5,-168.5,75.64,46.3,4,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,17812894237,654948.9514
2,10,NORTHWEST,1/1/2015,,59776,2028000,1891000,202.275,7600,27,5875610,66.31047157,58040,858684,1543000,1550000,60.225,74.33,66.22,198.97,-198.97,98.39,40,4,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,17812894237,654948.9514
3,10,NORTHWEST,1/1/2016,,57650,2029000,1905000,204.5666667,,,6060788,64.26247654,60792,864699,1509000,1515000,62.05,72.04,68.34,202.59,-202.59,101.31,39.1,4,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,17812894237,654948.9514
4,10,NORTHWEST,1/1/2017,,55524,2001000,1890000,203.2916667,,,6245966,67.432512,63544,870715,1541000,1550000,59.975,75.59,69.69,198.88,-198.88,98.55,44.9,4,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,17812894237,654948.9514
5,10,NORTHWEST,1/1/2018,,53398,1947000,1833000,184.8916667,,,6431144,55.32808307,66296,876731,1559000,1584000,56.01666667,62.02,71.57,184.81,-184.81,91.68,40.5,4,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,17812894237,654948.9514
6,10,NORTHWEST,1/1/2019,,51272,1721000,1563500,193.75,13000,14.5,6616322,58.81688027,69048,882746,1028300,1037100,54.68888889,65.93,93.53,179.96,-179.96,74.15,53.7,3,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,17812894237,654948.9514
7,20,NORTH CENTRAL,1/1/2014,,24665,1996000,1950000,171.8818182,,,3160344,67.06791804,7096,157312,1184000,1193000,47.39090909,75.18,29.9,156.27,-156.27,59.01,7.8,17,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,15744693084,516987.2473
8,20,NORTH CENTRAL,1/1/2015,,25062,1873000,1834000,198.9181818,1150,22.5,3105040,64.85731042,7222,154072,1283000,1290000,58.82727273,72.71,29.66,190.91,-190.91,89.55,1,17,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,15744693084,516987.2473
9,20,NORTH CENTRAL,1/1/2016,,25460,2027000,1992000,200.1636364,,,3049735,64.40632779,7348,150832,1142000,1157000,60.34545455,72.2,28.97,188.88,-188.88,82.77,-4.9,17,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,15744693084,516987.2473
10,20,NORTH CENTRAL,1/1/2017,,25858,1862000,1838000,206,1110,16,2994431,66.14339159,7474,147592,1286000,1293000,56.81818182,74.15,28.75,190.44,-190.44,85.53,-2,17,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,jbrittes@iastate.edu_ISUGISF,10/26/2022 20:07,15744693084,516987.2473
